day,region,date,region_lat,region_lon,n_obs
21,Coquimbo,3/24/2020,-29.9682462,-71.339197,5
21,Ohiggins,3/24/2020,-34.1547941,-70.7687629,1
21,Tarapaca,3/24/2020,-20.2141288,-70.140672,3
22,Antofagasta,3/25/2020,-22.4457586,-68.9203724,6
22,Araucania,3/25/2020,-38.7369966,-72.6018527,15
22,Biobio,3/25/2020,-36.8249391,-73.0401338,22
22,Los Lagos,3/25/2020,-41.4491726,-72.9594584,8
22,Los Rios,3/25/2020,-39.8185499,-73.2417066,5
22,Maule,3/25/2020,-35.4270536,-71.6483745,1
22,Metropolitana,3/25/2020,-33.3923636,-70.608036,142
22,Nuble,3/25/2020,-36.6096863,-72.1279976,6
22,Valparaiso,3/25/2020,-33.0097842,-71.5517663,7
22,Magallanes,3/25/2020,-53.1480972,-70.9503614,5
22,Coquimbo,3/25/2020,-29.9682462,-71.339197,1
22,Ohiggins,3/25/2020,-34.1547941,-70.7687629,2
23,Antofagasta,3/26/2020,-22.4457586,-68.9203724,1
23,Araucania,3/26/2020,-38.7369966,-72.6018527,37
23,Aysen,3/26/2020,-45.2066761,-72.6862988,1
23,Biobio,3/26/2020,-36.8249391,-73.0401338,14
23,Los Lagos,3/26/2020,-41.4491726,-72.9594584,16
23,Los Rios,3/26/2020,-39.8185499,-73.2417066,3
23,Maule,3/26/2020,-35.4270536,-71.6483745,1
23,Metropolitana,3/26/2020,-33.3923636,-70.608036,64
23,Nuble,3/26/2020,-36.6096863,-72.1279976,3
23,Valparaiso,3/26/2020,-33.0097842,-71.5517663,12
23,Magallanes,3/26/2020,-53.1480972,-70.9503614,6
23,Coquimbo,3/26/2020,-29.9682462,-71.339197,1
23,Ohiggins,3/26/2020,-34.1547941,-70.7687629,3
23,Arica y Parinacota,3/26/2020,-18.4781181,-70.3141952,1
23,Tarapaca,3/26/2020,-20.2141288,-70.140672,1
24,Antofagasta,3/27/2020,-22.4457586,-68.9203724,1
24,Araucania,3/27/2020,-38.7369966,-72.6018527,32
24,Biobio,3/27/2020,-36.8249391,-73.0401338,26
24,Los Lagos,3/27/2020,-41.4491726,-72.9594584,3
24,Los Rios,3/27/2020,-39.8185499,-73.2417066,8
24,Maule,3/27/2020,-35.4270536,-71.6483745,1
24,Metropolitana,3/27/2020,-33.3923636,-70.608036,192
24,Nuble,3/27/2020,-36.6096863,-72.1279976,30
24,Valparaiso,3/27/2020,-33.0097842,-71.5517663,5
24,Magallanes,3/27/2020,-53.1480972,-70.9503614,3
24,Coquimbo,3/27/2020,-29.9682462,-71.339197,1
24,Ohiggins,3/27/2020,-34.1547941,-70.7687629,2
25,Antofagasta,3/28/2020,-22.4457586,-68.9203724,4
25,Araucania,3/28/2020,-38.7369966,-72.6018527,34
25,Biobio,3/28/2020,-36.8249391,-73.0401338,16
25,Los Lagos,3/28/2020,-41.4491726,-72.9594584,30
25,Los Rios,3/28/2020,-39.8185499,-73.2417066,5
25,Maule,3/28/2020,-35.4270536,-71.6483745,5
25,Metropolitana,3/28/2020,-33.3923636,-70.608036,146
25,Nuble,3/28/2020,-36.6096863,-72.1279976,28
25,Valparaiso,3/28/2020,-33.0097842,-71.5517663,22
25,Magallanes,3/28/2020,-53.1480972,-70.9503614,4
25,Coquimbo,3/28/2020,-29.9682462,-71.339197,1
25,Ohiggins,3/28/2020,-34.1547941,-70.7687629,4
26,Antofagasta,3/29/2020,-22.4457586,-68.9203724,2
26,Araucania,3/29/2020,-38.7369966,-72.6018527,28
26,Atacama,3/29/2020,-27.3842181,-70.3308447,1
26,Biobio,3/29/2020,-36.8249391,-73.0401338,34
26,Los Lagos,3/29/2020,-41.4491726,-72.9594584,11
26,Los Rios,3/29/2020,-39.8185499,-73.2417066,13
26,Maule,3/29/2020,-35.4270536,-71.6483745,5
26,Metropolitana,3/29/2020,-33.3923636,-70.608036,83
26,Nuble,3/29/2020,-36.6096863,-72.1279976,25
26,Valparaiso,3/29/2020,-33.0097842,-71.5517663,9
26,Magallanes,3/29/2020,-53.1480972,-70.9503614,13
26,Coquimbo,3/29/2020,-29.9682462,-71.339197,3
26,Ohiggins,3/29/2020,-34.1547941,-70.7687629,1
26,Arica y Parinacota,3/29/2020,-18.4781181,-70.3141952,1
26,Tarapaca,3/29/2020,-20.2141288,-70.140672,1
27,Antofagasta,3/30/3020,-22.4457586,-68.9203724,8
27,Araucania,3/30/3020,-38.7369966,-72.6018527,42
27,Biobio,3/30/3020,-36.8249391,-73.0401338,16
27,Los Lagos,3/30/3020,-41.4491726,-72.9594584,24
