date,area,pVMI_total,pVMI_covid,VMI_total,VMI_out
5/5/2020,Oriente,0.608,0.405,45,
5/5/2020,Sur,0.733,0.483,44,
5/5/2020,Sur Oriente,0.954,0.708,62,
5/5/2020,Total,0.749,0.508,289,
5/6/2020,Central,0.802,0.568,65,
5/6/2020,Norte,0.8,0.44,20,
5/6/2020,Occidente,0.704,0.42,57,
5/6/2020,Oriente,0.608,0.473,45,
5/6/2020,Sur,0.783,0.55,47,
5/6/2020,Sur Oriente,0.956,0.735,65,
5/6/2020,Total,0.769,0.537,299,
5/7/2020,Central,0.827,0.605,67,
5/7/2020,Norte,0.72,0.44,18,
5/7/2020,Occidente,0.759,0.494,63,
5/7/2020,Oriente,0.554,0.486,41,
5/7/2020,Sur,0.917,0.633,55,
5/7/2020,Sur Oriente,0.851,0.635,63,
5/7/2020,Total,0.773,0.559,307,
5/8/2020,Central,0.84,0.642,68,
5/8/2020,Norte,0.72,0.4,18,
5/8/2020,Occidente,0.723,0.518,60,
5/8/2020,Oriente,0.541,0.459,40,
5/8/2020,Sur,0.951,0.672,58,
5/8/2020,Sur Oriente,0.932,0.689,69,
5/8/2020,Total,0.786,0.58,313,
5/9/2020,Central,0.901,0.728,73,
5/9/2020,Norte,0.88,0.56,22,
5/9/2020,Occidente,0.723,0.566,60,
5/9/2020,Oriente,0.541,0.446,40,
5/9/2020,Sur,0.918,0.689,56,
5/9/2020,Sur Oriente,0.878,0.689,65,
5/9/2020,Total,0.794,0.618,316,
5/10/2020,Central,0.852,0.765,69,
5/10/2020,Norte,0.84,0.56,21,
5/10/2020,Occidente,0.735,0.614,61,
5/10/2020,Oriente,0.56,0.493,42,
5/10/2020,Sur,0.852,0.672,52,
5/10/2020,Sur Oriente,0.903,0.708,65,
5/10/2020,Total,0.781,0.645,310,
5/11/2020,Central,0.815,0.79,66,
5/11/2020,Norte,0.875,0.625,21,
5/11/2020,Occidente,0.747,0.609,65,
5/11/2020,Oriente,0.697,0.605,53,
5/11/2020,Sur,0.817,0.7,49,
5/11/2020,Sur Oriente,0.89,0.72,73,
5/11/2020,Total,0.798,0.68,327,
5/12/2020,Central,0.929,0.765,79,
5/12/2020,Norte,0.875,0.542,21,
5/12/2020,Occidente,0.895,0.663,77,
5/12/2020,Oriente,0.78,0.512,64,
5/12/2020,Sur,0.905,0.746,57,
5/12/2020,Sur Oriente,0.865,0.618,77,
5/12/2020,Total,0.874,0.65,375,
5/13/2020,Central,0.906,0.788,77,
5/13/2020,Norte,0.792,0.542,19,
5/13/2020,Occidente,0.795,0.682,70,
5/13/2020,Oriente,0.5,0.467,45,
5/13/2020,Sur,0.901,0.704,64,
5/13/2020,Sur Oriente,0.867,0.689,78,
5/13/2020,Total,0.788,0.656,353,
5/14/2020,Central,0.83,0.736,88,
5/14/2020,Norte,0.625,0.458,15,
5/14/2020,Occidente,0.833,0.678,75,
5/14/2020,Oriente,0.579,0.513,44,
5/14/2020,Sur,0.859,0.718,61,
5/14/2020,Sur Oriente,0.84,0.691,79,
5/14/2020,Total,0.785,0.662,362,
5/15/2020,Central,0.816,0.711,93,
5/15/2020,Norte,0.75,0.708,18,
5/15/2020,Occidente,0.809,0.66,76,
5/15/2020,Oriente,0.643,0.56,54,
5/15/2020,Sur,0.893,0.667,67,
5/15/2020,Sur Oriente,0.936,0.766,88,
5/15/2020,Total,0.816,0.678,396,
5/16/2020,Central,0.868,0.798,99,
5/16/2020,Norte,0.667,0.5,16,
5/16/2020,Occidente,0.83,0.649,78,
5/16/2020,Oriente,0.667,0.595,56,
5/16/2020,Sur,0.92,0.72,69,
5/16/2020,Sur Oriente,0.99,0.817,103,
5/16/2020,Total,0.851,0.713,421,
5/17/2020,Central,0.912,0.877,104,
5/17/2020,Norte,0.903,0.742,28,
5/17/2020,Occidente,0.883,0.787,83,
5/17/2020,Oriente,0.714,0.667,60,
5/17/2020,Sur,0.961,0.75,73,
5/17/2020,Sur Oriente,0.956,0.832,108,
5/17/2020,Total,0.891,0.789,456,
5/18/2020,Central,0.93,0.886,106,
5/18/2020,Norte,0.903,0.742,28,
5/18/2020,Occidente,0.904,0.819,85,
5/18/2020,Oriente,0.699,0.687,58,
5/18/2020,Sur,0.907,0.72,68,
5/18/2020,Sur Oriente,0.937,0.793,104,
5/18/2020,Total,0.884,0.787,449,0.092146597
5/19/2020,Central,0.897,0.88,105,
5/19/2020,Norte,0.815,0.741,22,
5/19/2020,Occidente,0.911,0.8,82,
5/19/2020,Oriente,0.701,0.655,61,
5/19/2020,Sur,0.945,0.744,74,
5/19/2020,Sur Oriente,0.879,0.832,94,
5/19/2020,Total,0.866,0.789,438,0.108761329
5/20/2020,Central,0.945,0.909,104,
5/20/2020,Norte,0.889,0.852,24,
5/20/2020,Occidente,0.939,0.816,92,
5/20/2020,Oriente,0.739,0.67,65,
5/20/2020,Sur,0.917,0.714,77,
5/20/2020,Sur Oriente,0.934,0.934,85,
5/20/2020,Total,0.898,0.817,447,0.112077295
5/21/2020,Central,0.91,0.893,111,
5/21/2020,Norte,0.88,0.84,22,
