day,region,date,region_lat,region_lon,n_obs,n_obsSymp,n_obsAsymp,Deaths,Pop
15,Arica y Parinacota,3/18/2020,-18.4781181,-70.3141952,1,,,0,252110.0
16,Araucania,3/19/2020,-38.736996600000005,-72.6018527,3,,,0,1014343.0
16,Biobio,3/19/2020,-36.8249391,-73.04013379999999,7,,,0,1663696.0
16,Los Lagos,3/19/2020,-41.449172600000004,-72.9594584,8,,,0,891440.0
16,Maule,3/19/2020,-35.4270536,-71.6483745,3,,,0,1131939.0
16,Metropolitana,3/19/2020,-33.3923636,-70.608036,73,,,0,8125072.0
16,Nuble,3/19/2020,-36.60968629999999,-72.12799759999999,2,,,0,511551.0
16,Valparaiso,3/19/2020,-33.0097842,-71.5517663,3,,,0,1960170.0
16,Coquimbo,3/19/2020,-29.9682462,-71.339197,2,,,0,836096.0
16,Ohiggins,3/19/2020,-34.1547941,-70.76876290000001,2,,,0,991063.0
17,Antofagasta,3/20/2020,-22.4457586,-68.9203724,4,,,0,691854.0
17,Araucania,3/20/2020,-38.736996600000005,-72.6018527,2,,,0,1014343.0
17,Biobio,3/20/2020,-36.8249391,-73.04013379999999,5,,,0,1663696.0
17,Los Lagos,3/20/2020,-41.449172600000004,-72.9594584,2,,,0,891440.0
17,Metropolitana,3/20/2020,-33.3923636,-70.608036,57,,,0,8125072.0
17,Nuble,3/20/2020,-36.60968629999999,-72.12799759999999,16,,,0,511551.0
17,Valparaiso,3/20/2020,-33.0097842,-71.5517663,1,,,0,1960170.0
17,Coquimbo,3/20/2020,-29.9682462,-71.339197,1,,,0,836096.0
17,Ohiggins,3/20/2020,-34.1547941,-70.76876290000001,4,,,0,991063.0
18,Antofagasta,3/21/2020,-22.4457586,-68.9203724,4,,,0,691854.0
18,Araucania,3/21/2020,-38.736996600000005,-72.6018527,6,,,0,1014343.0
18,Biobio,3/21/2020,-36.8249391,-73.04013379999999,11,,,0,1663696.0
18,Los Lagos,3/21/2020,-41.449172600000004,-72.9594584,2,,,0,891440.0
18,Maule,3/21/2020,-35.4270536,-71.6483745,1,,,0,1131939.0
18,Metropolitana,3/21/2020,-33.3923636,-70.608036,55,,,1,8125072.0
18,Nuble,3/21/2020,-36.60968629999999,-72.12799759999999,14,,,0,511551.0
18,Valparaiso,3/21/2020,-33.0097842,-71.5517663,8,,,0,1960170.0
18,Magallanes,3/21/2020,-53.14809720000001,-70.9503614,1,,,0,178362.0
18,Ohiggins,3/21/2020,-34.1547941,-70.76876290000001,1,,,0,991063.0
19,Antofagasta,3/22/2020,-22.4457586,-68.9203724,1,,,0,691854.0
19,Araucania,3/22/2020,-38.736996600000005,-72.6018527,12,,,0,1014343.0
19,Biobio,3/22/2020,-36.8249391,-73.04013379999999,5,,,0,1663696.0
19,Los Lagos,3/22/2020,-41.449172600000004,-72.9594584,3,,,0,891440.0
19,Maule,3/22/2020,-35.4270536,-71.6483745,10,,,0,1131939.0
19,Metropolitana,3/22/2020,-33.3923636,-70.608036,50,,,0,8125072.0
19,Nuble,3/22/2020,-36.60968629999999,-72.12799759999999,6,,,0,511551.0
19,Valparaiso,3/22/2020,-33.0097842,-71.5517663,3,,,0,1960170.0
19,Magallanes,3/22/2020,-53.14809720000001,-70.9503614,1,,,0,178362.0
19,Coquimbo,3/22/2020,-29.9682462,-71.339197,2,,,0,836096.0
19,Ohiggins,3/22/2020,-34.1547941,-70.76876290000001,1,,,0,991063.0
19,Arica y Parinacota,3/22/2020,-18.4781181,-70.3141952,1,,,0,252110.0
20,Araucania,3/23/2020,-38.736996600000005,-72.6018527,13,,,0,1014343.0
20,Biobio,3/23/2020,-36.8249391,-73.04013379999999,11,,,0,1663696.0
20,Los Lagos,3/23/2020,-41.449172600000004,-72.9594584,10,,,0,891440.0
20,Los Rios,3/23/2020,-39.8185499,-73.2417066,3,,,0,405835.0
20,Maule,3/23/2020,-35.4270536,-71.6483745,3,,,0,1131939.0
20,Metropolitana,3/23/2020,-33.3923636,-70.608036,50,,,1,8125072.0
20,Nuble,3/23/2020,-36.60968629999999,-72.12799759999999,17,,,0,511551.0
20,Valparaiso,3/23/2020,-33.0097842,-71.5517663,3,,,0,1960170.0
20,Magallanes,3/23/2020,-53.14809720000001,-70.9503614,2,,,0,178362.0
20,Coquimbo,3/23/2020,-29.9682462,-71.339197,1,,,0,836096.0
20,Tarapaca,3/23/2020,-20.2141288,-70.140672,1,,,0,382773.0
21,Antofagasta,3/24/2020,-22.4457586,-68.9203724,2,,,0,691854.0
21,Araucania,3/24/2020,-38.736996600000005,-72.6018527,19,,,0,1014343.0
21,Biobio,3/24/2020,-36.8249391,-73.04013379999999,27,,,0,1663696.0
21,Los Lagos,3/24/2020,-41.449172600000004,-72.9594584,3,,,0,891440.0
21,Los Rios,3/24/2020,-39.8185499,-73.2417066,2,,,0,405835.0
21,Maule,3/24/2020,-35.4270536,-71.6483745,1,,,0,1131939.0
21,Metropolitana,3/24/2020,-33.3923636,-70.608036,81,,,0,8125072.0
21,Nuble,3/24/2020,-36.60968629999999,-72.12799759999999,24,,,0,511551.0
21,Valparaiso,3/24/2020,-33.0097842,-71.5517663,6,,,0,1960170.0
21,Magallanes,3/24/2020,-53.14809720000001,-70.9503614,2,,,0,178362.0
21,Coquimbo,3/24/2020,-29.9682462,-71.339197,5,,,0,836096.0
21,Ohiggins,3/24/2020,-34.1547941,-70.76876290000001,1,,,0,991063.0
21,Tarapaca,3/24/2020,-20.2141288,-70.140672,3,,,0,382773.0
22,Antofagasta,3/25/2020,-22.4457586,-68.9203724,6,,,0,691854.0
22,Araucania,3/25/2020,-38.736996600000005,-72.6018527,15,,,0,1014343.0
22,Biobio,3/25/2020,-36.8249391,-73.04013379999999,22,,,1,1663696.0
22,Los Lagos,3/25/2020,-41.449172600000004,-72.9594584,8,,,0,891440.0
22,Los Rios,3/25/2020,-39.8185499,-73.2417066,5,,,0,405835.0
22,Maule,3/25/2020,-35.4270536,-71.6483745,1,,,0,1131939.0
22,Metropolitana,3/25/2020,-33.3923636,-70.608036,142,,,0,8125072.0
22,Nuble,3/25/2020,-36.60968629999999,-72.12799759999999,6,,,0,511551.0
22,Valparaiso,3/25/2020,-33.0097842,-71.5517663,7,,,0,1960170.0
22,Magallanes,3/25/2020,-53.14809720000001,-70.9503614,5,,,0,178362.0
22,Coquimbo,3/25/2020,-29.9682462,-71.339197,1,,,0,836096.0
22,Ohiggins,3/25/2020,-34.1547941,-70.76876290000001,2,,,0,991063.0
23,Antofagasta,3/26/2020,-22.4457586,-68.9203724,1,,,0,691854.0
23,Araucania,3/26/2020,-38.736996600000005,-72.6018527,37,,,0,1014343.0
